,Painting,Artist,Year of Painting,Adjusted Price,Original Price,Date of Sale,Year of Sale,Auction House
0,A Wheatfield with Cypresses,Vincent van Gogh,1889,93700000.0,57000000.0,1/05/1993,1993,Private sale 
1,Acrobate et jeune arlequin,Pablo Picasso,1905,75900000.0,38500000.0,28/11/1988,1988,Christie's
2,Adele Bloch-Bauer II,Gustav Klimt,1912,103500000.0,87900000.0,2/11/2006,2006,Christie's
3,Anna's Light,Barnett Newman,1968,107300000.0,105700000.0,4/10/2013,2013,Private sale 
4,Au Lapin Agile,Pablo Picasso,1904,76600000.0,40700000.0,27/11/1989,1989,Sotheby's
5,Bal du moulin de la Galette,Pierre-Auguste Renoir,1876,143300000.0,78100000.0,17/05/1990,1990,Sotheby's
6,Black Fire I,Barnett Newman,1961,84200000.0,84200000.0,13/05/2014,2014,Christie's
7,Darmstadt Madonna,Hans Holbein,1526,78700000.0,75000000.0,12/07/2011,2011,Private sale 
8,Diana and Actaeon,Titian,"1556, 1559",78900000.0,70600000.0,1/02/2009,2009,Private sale 
9,Diana and Callisto,Titian,"1556, 1559",74100000.0,71700000.0,2/03/2012,2012,Private sale 
10,Dora Maar au Chat,Pablo Picasso,1941,111500000.0,95200000.0,3/05/2006,2006,Sotheby's
11,Eagle Standing on Pine Tree,Qi Baishi,1946,68700000.0,65500000.0,22/05/2011,2011,China Guardian Auctions
12,Eight Elvises,Andy Warhol,1963,109500000.0,100000000.0,1/10/2008,2008,Private sale 
13,False Start,Jasper Johns,1959,94000000.0,80000000.0,12/10/2006,2006,Private sale 
14,Femme assise dans un jardin,Pablo Picasso,1938,69700000.0,49500000.0,10/11/1999,1999,Sotheby's
15,Femme aux Bras Croisés,Pablo Picasso,1902,74900000.0,55000000.0,8/11/2000,2000,Christie's
16,Flag,Jasper Johns,1954,119800000.0,110000000.0,1/03/2010,2010,Private sale 
17,Garçon à la pipe,Pablo Picasso,1905,130600000.0,104200000.0,4/05/2004,2004,Sotheby's
18,Green Car Crash (Green Burning Car I),Andy Warhol,1963,81800000.0,71700000.0,16/05/2007,2007,Christie's
19,Irises,Vincent van Gogh,1889,110700000.0,53900000.0,11/11/1987,1987,Sotheby's
20,Le Bassin aux Nymphéas,Claude Monet,1919,87300000.0,80500000.0,24/06/2008,2008,Christie's
21,Le Rêve,Pablo Picasso,1932,157900000.0,155000000.0,26/03/2013,2013,Private sale
22,Les Noces de Pierrette,Pablo Picasso,1905,92900000.0,49300000.0,30/11/1989,1989,Binoche et Godeau Paris
23,Massacre of the Innocents,Peter Paul Rubens,1611,101000000.0,76700000.0,10/07/2002,2002,Sotheby's
24,Men in Her Life,Andy Warhol,1962,68700000.0,63400000.0,8/11/2010,2010,Phillips de Pury & Company
25,No 1 (Royal Red and Blue),Mark Rothko,1954,77000000.0,75100000.0,13/11/2012,2012,Sotheby's
26,"No. 5, 1948",Jackson Pollock,1948,164700000.0,140000000.0,2/11/2006,2006,Private sale 
27,Nude Sitting on a Divan,Amedeo Modigliani,1917,74700000.0,69000000.0,2/11/2010,2010,Sotheby's
28,"Nude, Green Leaves and Bust",Pablo Picasso,1932,115700000.0,106500000.0,4/05/2010,2010,Christie's
29,"Orange, Red, Yellow",Mark Rothko,1961,89600000.0,86900000.0,8/05/2012,2012,Christie's
